sd_id	dc_release_id	sd_artist	dc_artist	dc_artist_id	sd_record_label	dc_record_label	sd_label_cat_no	dc_label_cat_no	sd_title	dc_title	dc_country	dc_year	dc_decade	dc_genres	dc_styles
6679795	1391151	Lloyd Price	Mickey Gilley	444577	Playboy Records	Playboy Records	P 6089	P 6089	Lawdy Miss Clawdy	Lawdy Miss Clawdy	US	1976	70	Rock; Folk, World, & Country	Country; Rock & Roll
6680236	4385408	Bui ; Nix ; Daughtry	Atlanta Rhythm Section	331215	Polydor Records	Polydor	PD 14373	PD 14373	So in to you ; Everybody gotta go	So In To You / Everybody Gotta Go	US	1976	70	Rock	Soft Rock; Southern Rock
6680262	1788018	Frank Mills	Frank Mills	180950	Polydor Records	Polydor	PD 14517	PD 14517	Music box dancer ; The poet and I	Music Box Dancer	US	1978	70	Jazz; Pop	Easy Listening
6680257	486330	Don Ray ; Cerrone	Don Ray	42172	Polydor Records	Polydor	PD 14489	PD 14489	Got to have loving ; My desire	Got To Have Loving / My Desire	US	1978	70	Funk / Soul	Disco
6680261	1578893	Dino Fekaris ; Freddie Perren	Peaches & Herb	201497	Polydor Records	Polydor	PD 14514	PD 14514	All your love (give it here) ; Shake your groove thing	Shake Your Groove Thing	US	1978	70	Funk / Soul	Soul; Disco
6680264	4880098	Bob Duncan ; John Durrill	C.W. McCall	327750	Polydor Records	Polydor	PD 14527	PD 14527	Outlaws and lone star beer	Outlaws And Lone Star Beer	US	1978	70	Folk, World, & Country	Country
6681797	1557780	Silverstein	Waylon Jennings	263206	RCA Victor	RCA	47-9885	47-9885	The taker	The Taker / Shadow Of The Gallows	US	1970	70	Folk, World, & Country	Country
6681783	1522290	Roy Botkin. Wonder could I live there anymore / Bill Rice	Charley Pride	411865	RCA Victor	RCA Victor	47-9855	47-9855	Piroque Joe	Wonder Could I Live There Anymore / Piroque Joe	US	1970	70	Folk, World, & Country	Country
6681781	2134236	John Christopher. The wonder of you / Baker Knight	Elvis Presley	27518	RCA Victor	RCA Victor	47-9835	47-9835	Mama liked the roses	The Wonder Of You / Mama Liked The Roses	US	1970	70	Pop	Vocal
6681768	1516159	Hartford	John Hartford	406954	RCA Victor	RCA	47-9772	47-9772	Like unto a mockingbird ; Natural to be gone	Natural To Be Gone / Like Unto A Mockingbird	US	1969	60	Folk, World, & Country	Folk
6681764	1577504	Mark James. You'll think of me / Mort Shuman	Elvis Presley	27518	RCA Victor	RCA Victor	47-9764	47-9764	Suspicious minds	Suspicious Minds	US	1969	60	Rock	Rock & Roll
6681772	1539910	Glenn Martin ; Dave Kirby. Things are looking up / Hugh X. ; Lewis	Charley Pride	411865	RCA Victor	RCA Victor	47-9806	47-9806	Is anybody goin' to San Antone	Is Anybody Goin' To San Antone / Things Are Looking Up	US	1970	70	Folk, World, & Country	Country
6681763	3029067		Karl Weiss	1886923	RCA Victor	RCA Victor	EPA-4127	EPA-4127	Advanced folk dances.	Advanced Folk Dances	US	1958	50	Folk, World, & Country	Folk
6681773	4330188	John Denver. Friends with you / Bill Danoff, Taffy Nivert	John Denver	252391	RCA Victor	RCA Victor	74-0567	74-0567	Starwood in Aspen	Friends With You	US	1971	70	Folk, World, & Country	Country
6681761	9005064	Dolly Parton. Here I am / Dolly Parton	Dolly Parton	39776	RCA Victor	RCA Victor	74-0538	74-0538	Coat of many colors	Coat Of Many Colors	US	1971	70	Folk, World, & Country	Country
6681792	3451862	Price	Kenny Price	444573	RCA Victor	RCA	47-9869	47-9869	Biloxi	Biloxi / The Shortest Song In The World	US	1970	70	Folk, World, & Country	Country
6681751	2215900	Scott Davis. Any day now / Bob Hilliard ; But Bacharach	Elvis Presley	27518	RCA Victor	RCA Victor	47-9741	47-9741	In the ghetto	In The Ghetto / Any Day Now	US	1969	60	Pop	Soft Rock
6681754	1534977	Young. Get together / Chet Powers	The Youngbloods	262457	RCA Victor	RCA Victor	47-9752	47-9752	Beautiful	Get Together / Beautiful	US	1969	60	Rock	Psychedelic Rock
6682181	1524842		Perry Como	27516	RCA	RCA Victor	47-6192	47-6192	Fooled ;	Tina Marie / Fooled	US	1955	50	Pop	Vocal
6682189	7509778	 Francis Scott Key. America / Henry Carey, Samuel Francis Smith	The Boston Pops Orchestra	406285	RCA Victor	RCA Victor	447-0758	447-0758	The Star Spangled Banner	The Star Spangled Banner	US	1965	60	Reggae; Pop	Instrumental
6682150	2703575		Frankie Carle	619769	RCA Victor	RCA Victor	EPB 3080	EPB 3080	Honky tonk.	Honky Tonk Piano Vol. 2	US	1952	50	Jazz	Ragtime
6682148	3042471	Scott Davis, Billy Strange. Memories / Strange, Davis	Elvis Presley	27518	RCA Victor	RCA	447-0669	447-0669	Charro	Charro / Memories	US	1969	60	Pop; Stage & Screen	Theme; Vocal
